"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","143.75","135.75","145.00","135.75","965.87K","5.31%"
"02/21/2024","136.50","138.00","138.50","135.00","21.05K","-0.55%"
"02/20/2024","137.25","139.00","139.75","137.00","168.74K","-1.08%"
"02/19/2024","138.75","134.50","139.00","134.50","379.61K","2.40%"
"02/16/2024","135.50","133.00","135.50","132.50","709.52K","1.88%"
"02/15/2024","133.00","133.00","133.50","132.50","264.48K","0.00%"
"02/14/2024","133.00","134.00","134.00","132.50","58.95K","0.00%"
"02/13/2024","133.00","132.25","136.50","132.25","231.31K","-1.12%"
"02/12/2024","134.50","130.00","135.00","129.00","712.45K","2.67%"
"02/09/2024","131.00","130.00","131.00","129.00","538.24K","0.77%"
"02/08/2024","130.00","129.50","131.00","129.50","374.25K","0.39%"
"02/07/2024","129.50","130.00","132.00","129.00","191.30K","-0.38%"
"02/06/2024","130.00","130.50","132.00","129.50","280.66K","-1.14%"
"02/02/2024","131.50","130.50","132.25","129.75","487.32K","0.57%"
"02/01/2024","130.75","130.50","132.25","130.00","234.13K","-0.19%"
"01/31/2024","131.00","132.50","132.50","130.50","236.54K","-1.50%"
"01/30/2024","133.00","131.00","134.50","131.00","382.26K","0.76%"
"01/29/2024","132.00","131.25","132.00","128.75","659.08K","-0.75%"
"01/26/2024","133.00","133.00","135.50","131.00","239.18K","0.00%"
"01/24/2024","133.00","135.00","135.00","132.75","313.31K","-0.75%"
"01/23/2024","134.00","136.00","136.00","133.00","191.79K","-1.11%"
"01/22/2024","135.50","137.00","138.75","135.50","120.46K","-1.28%"
"01/19/2024","137.25","139.00","139.50","137.00","132.00K","-0.54%"
"01/18/2024","138.00","138.00","140.00","137.00","116.46K","-0.54%"
"01/17/2024","138.75","142.00","142.00","136.50","278.58K","-1.60%"
"01/16/2024","141.00","143.00","144.00","140.25","159.87K","-0.88%"
"01/12/2024","142.25","140.50","143.00","140.50","213.96K","0.35%"
"01/11/2024","141.75","141.25","143.00","141.00","79.26K","-0.18%"
"01/10/2024","142.00","144.00","144.00","141.50","20.14K","-1.39%"
"01/09/2024","144.00","145.00","145.00","142.50","51.67K","-0.69%"
"01/08/2024","145.00","143.00","147.25","142.25","524.98K","1.75%"
